Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Slovakia,2015,5.42,2.64,2.78,15.3,20.9,110.6,49
Slovenia,2015,2.08,1.03,1.05,14.9,24.7,103.3,20
Solomon Islands,2015,0.61,0.31,0.3,40.5,5.2,21.3,29
Somalia,2015,13.76,6.9,6.86,47.8,4.1,21.9,638
South Africa,2015,55.88,27.16,28.72,28.3,8.1,45.8,1221
South Sudan,2015,11.19,5.54,5.66,43.5,4.1,19.8,659
Spain,2015,46.43,22.81,23.62,15.2,24.1,92.4,506
Sri Lanka,2015,21.34,10.32,11.02,25,13.6,340.3,66
State of Palestine,2015,4.48,2.23,2.25,40.6,4.8,745,6
Sudan,2015,38.17,19.09,19.08,42,4.9,21.6,
Suriname,2015,0.58,0.29,0.29,28.5,9.5,3.7,164
Sweden,2015,9.85,4.93,4.92,17.4,25.3,24.2,439
Switzerland,2015,8.28,4.1,4.18,14.9,23.5,207.1,41
Syria,2015,19.21,9.66,9.54,41.1,6.3,104.5,185
Tajikistan,2015,8.52,4.28,4.24,36.6,4.9,59.6,143
Tanzania,2015,52.54,25.86,26.68,44.8,4.8,59.3,947
Thailand,2015,70.29,34.37,35.93,17.4,16.3,137.6,513
Timor-Leste,2015,1.21,0.62,0.59,39,7.9,81.1,15
Togo,2015,7.47,3.75,3.72,41.4,4.7,137.4,57
Tokelau,2015,0,0,0,30.1,14.6,121.2,0
Tonga,2015,0.11,0.05,0.05,36.8,8.6,163.3,1
Trinidad and Tobago,2015,1.46,0.72,0.74,20.4,13.4,284.6,5
Tunisia,2015,11.56,5.74,5.82,24.2,11.2,74.4,164
Turkiye,2015,79.65,39.97,39.67,24.6,10.6,103.5,784
Turkmenistan,2015,5.77,2.85,2.91,30.4,6.8,12.3,488
Turks and Caicos Islands,2015,0.04,0.02,0.02,18.8,12.5,38.5,1
Tuvalu,2015,0.01,0.01,0.01,31.6,8.9,362.6,0
Uganda,2015,37.48,18.49,18.98,48.5,2.7,187.6,242
Ukraine,2015,44.98,20.82,24.16,15.2,22,77.6,604
United Arab Emirates,2015,8.92,6.34,2.58,14.3,1.1,125.5,84
United Kingdom,2015,65.22,32.13,33.1,17.7,23.2,268.7,242
United States,2015,324.61,160.49,164.11,19.3,20.3,35.5,9834
Uruguay,2015,3.4,1.64,1.76,21.1,19.4,19.6,174
Uzbekistan,2015,30.95,15.48,15.47,28.5,7.1,72.8,449
Vanuatu,2015,0.28,0.14,0.14,39.6,5.6,22.7,12
Venezuela,2015,30.53,15.19,15.34,28.5,9.7,33.3,912
Vietnam,2015,92.19,45.48,46.71,23.4,10.9,294.2,331
Virgin Islands,2015,0.1,0.05,0.05,19.5,23.9,293.7,0
Wallis and Futuna Islands,2015,0.01,0.01,0.01,26.7,15.4,87,0
Western Sahara,2015,0.49,0.27,0.22,26,7.5,1.8,266
Yemen,2015,28.52,14.44,14.08,41.7,4.1,54,528
Zambia,2015,16.25,8,8.25,45.5,2.7,21.9,753
Zimbabwe,2015,14.15,6.65,7.5,42.9,4.9,36.6,391
South Sudan,2017,10.66,5.27,5.39,46,4.3,18.9,659
Afghanistan,2020,38.97,19.69,19.28,43.8,3.8,60,653
Albania,2020,2.87,1.43,1.43,16.5,22.4,104.6,29
Algeria,2020,43.45,22.13,21.32,30.6,9.2,18.2,2382
American Samoa,2020,0.05,0.02,0.02,28.2,10.8,230.9,0
Andorra,2020,0.08,0.04,0.04,13.3,20.4,165.3,0
Angola,2020,33.43,16.52,16.91,45.3,4.2,26.8,1247
Anguilla,2020,0.02,0.01,0.01,18,14.8,177.1,0
Antigua and Barbuda,2020,0.09,0.04,0.05,19.1,14.9,210.6,0
Argentina,2020,45.04,22.3,22.74,23.7,16,16.1,2796
Armenia,2020,2.81,1.27,1.54,20.3,19.2,98.6,30
Aruba,2020,0.11,0.05,0.06,17.4,22.4,592.1,0
Australia,2020,25.67,12.74,12.93,18.5,21.8,3.3,7692
Austria,2020,8.91,4.38,4.52,14.4,25.6,107.9,84
Azerbaijan,2020,10.29,5.08,5.21,24.2,11.4,124.4,87
Bahamas,2020,0.41,0.19,0.21,20.2,12.8,75.9,14
Bahrain,2020,1.48,0.92,0.56,20.3,5.9,1886.9,1
Bangladesh,2020,167.42,83.06,84.36,27,8.8,1286.2,148
Barbados,2020,0.28,0.13,0.15,17.4,21.8,652.8,0
Belarus,2020,9.63,4.45,5.19,16.8,23.8,47.5,208
Belgium,2020,11.56,5.71,5.85,16.8,25.5,381.9,31
Belize,2020,0.39,0.2,0.2,28.8,7.5,17.3,23
Benin,2020,12.64,6.33,6.31,42.7,4.9,112.1,115
Bermuda,2020,0.06,0.03,0.03,14.9,26.9,1185.8,0
Bhutan,2020,0.77,0.41,0.36,23.5,9,20.1,38
Bolivia,2020,11.94,5.99,5.94,31.4,7.7,11,1099
Bosnia and Herzegovina,2020,3.32,1.63,1.69,14.9,24.9,64.8,51
Botswana,2020,2.55,1.26,1.29,33.2,5.8,4.5,582
Brazil,2020,213.2,104.78,108.42,20.8,13.8,25.5,8516
British Virgin Islands,2020,0.03,0.01,0.02,15.9,14.6,200.7,0
Brunei Darussalam,2020,0.44,0.23,0.21,22.6,9.4,76.6,6
Bulgaria,2020,6.98,3.39,3.59,14,29.1,64.4,110
Burkina Faso,2020,21.52,10.72,10.8,44.4,4.1,78.7,274
Burundi,2020,12.22,6.07,6.15,46.7,3.9,470.9,28
Cabo Verde,2020,0.58,0.29,0.29,27,8.3,144.6,4
Cambodia,2020,16.4,8.12,8.28,29.6,8.9,90.6,181
Cameroon,2020,26.49,13.21,13.28,42.6,4.3,56.8,476
Canada,2020,37.89,18.83,19.06,15.9,24.8,4.2,9985
Cayman Islands,2020,0.07,0.03,0.03,16.9,11.9,279.3,0
Central African Republic,2020,5.34,2.67,2.67,48.2,4.2,8.6,623
Chad,2020,16.64,8.36,8.29,47.8,3.4,13.2,1284
Chile,2020,19.3,9.58,9.72,18.6,17.5,25.6,756
China,2020,1424.93,727.99,696.94,18,17.8,148.4,9600
"China, Macao SAR",2020,0.68,0.32,0.36,14.3,17.9,21133.8,0
Colombia,2020,50.93,25.14,25.79,21.9,12.8,45.3,1142
Comoros,2020,0.81,0.4,0.4,38.5,6.4,433.2,2
"Congo, Dem. Rep.",2020,92.85,46.07,46.79,46.5,4.7,41,2345
"Congo, Rep.",2020,5.7,2.85,2.85,41.7,4.5,16.7,342
Cook Islands,2020,0.02,0.01,0.01,24,16.3,71,0
Costa Rica,2020,5.12,2.56,2.56,20.9,14.9,100.3,51
Cote d’Ivoire,2020,26.81,13.55,13.26,42.1,3.8,84.3,322
Croatia,2020,4.1,1.99,2.1,14.2,28.9,73.3,57
Cuba,2020,11.3,5.62,5.68,15.9,21,105.9,110
Curaçao,2020,0.19,0.09,0.1,17.7,20.5,446.4,0
Cyprus,2020,1.24,0.62,0.62,16,19.6,133.9,9
Czechia,2020,10.53,5.19,5.34,16,26.3,136.4,79
Denmark,2020,5.83,2.9,2.93,16.3,26,137.4,43
Djibouti,2020,1.09,0.54,0.55,31.2,6.9,47,23
